,,MXWD,MXEF,MXWO,IBOV,VIX,TIPS
We,09/12/1998,263.54,296.05,1107.71,7572.86,25.66,106.068
Tu,08/12/1998,262.13,295.76,1101.58,7629.24,25.58,105.8237
Mo,07/12/1998,262.11,297.76,1101.22,7945.78,24.9,105.7239
,,,,,,,
Fr,04/12/1998,260.75,291.25,1096.26,7626.74,25.31,106.2006
Th,03/12/1998,257.71,291.05,1083,7706.29,28.7,106.6297
We,02/12/1998,259.61,299.16,1090.03,8448.61,25.43,106.663
Tu,01/12/1998,259.91,299.07,1091.4,8544.55,24.97,106.6443
Mo,30/11/1998,261.53,304.53,1097.62,8631.15,26.01,106.7516
,,,,,,,
Fr,27/11/1998,266.69,309.84,1119.4,9093.52,22.09,106.4206
Th,26/11/1998,266.18,310.02,1117.13,8953.74,,
We,25/11/1998,264.42,309.22,1109.53,8909.71,22.15,106.3899
Tu,24/11/1998,264.78,309.62,1111.02,8606.55,23.28,106.4072
Mo,23/11/1998,265.1,310.54,1112.38,8635.88,21.84,106.4912
,,,,,,,
Fr,20/11/1998,261.04,307.21,1095.06,8531.39,22.47,106.1731
Th,19/11/1998,257.97,302.28,1082.39,8317.59,25.5,106.1751
We,18/11/1998,255.3,300.02,1071.11,8547.07,27.13,106.0074
Tu,17/11/1998,254.38,297.34,1067.53,8330.36,27.95,105.9553
Mo,16/11/1998,254.61,294.49,1068.99,8003.99,28.9,105.7468
,,,,,,,
Fr,13/11/1998,250.17,288.11,1050.57,7615.13,29.03,105.656
Th,12/11/1998,248.27,286.36,1042.56,7470.72,29.28,105.5894
We,11/11/1998,250.68,291.22,1052.33,7762.99,28.47,
Tu,10/11/1998,249.97,292.43,1049.08,8000.46,28.17,105.4184
Mo,09/11/1998,251.66,298.78,1055.46,8242.38,28.09,105.3447
,,,,,,,
Fr,06/11/1998,255.46,300.82,1071.78,8214.31,25.7,105.2343
Th,05/11/1998,255.28,298.18,1071.41,8092.85,26.01,105.7352
We,04/11/1998,254.46,295.21,1068.26,7655.95,27.37,105.8176
Tu,03/11/1998,251.09,290.64,1054.22,7509,27.76,106.2942
Mo,02/11/1998,251.73,287.01,1057.61,,27.26,106.6842
,,,,,,,
Fr,30/10/1998,246.87,281.4,1037.21,7047.4,28.05,106.8619
Th,29/10/1998,244.08,273.2,1026.28,6538.4,29.5,106.9481
We,28/10/1998,240.96,272.69,1012.67,6826.51,32.42,106.5834
Tu,27/10/1998,242.12,274.86,1017.43,6869.14,32.95,106.4886
Mo,26/10/1998,241.94,275.91,1016.51,6971.79,32.38,106.4742
,,,,,,,
Fr,23/10/1998,241.99,275.39,1016.83,7272.02,32.27,106.5457
Th,22/10/1998,242.89,277.36,1020.43,7603.43,31.53,106.7149
We,21/10/1998,241.95,275.44,1016.59,7350.41,33.21,106.8354
Tu,20/10/1998,241.76,273.44,1016.09,6973.49,33.11,106.8548
Mo,19/10/1998,239.64,269.8,1007.33,6844.38,33.13,107.1343
,,,,,,,
Fr,16/10/1998,239.03,268.83,1004.85,6707.29,34.82,106.6496
Th,15/10/1998,235.12,264.18,988.52,6874.01,33.34,105.8285
We,14/10/1998,228.58,254.89,961.35,6445.47,38.96,105.9724
Tu,13/10/1998,226.41,253.82,952.01,6618.06,40.23,105.8933
Mo,12/10/1998,226.71,253.96,953.3,,40.07,
,,,,,,,
Fr,09/10/1998,221.03,249.97,929.03,6527.54,42.2,106.2667
Th,08/10/1998,217.35,244.06,913.78,6175.2,45.74,106.0032
We,07/10/1998,220.81,244.79,928.9,6156.59,43.51,106.2676
Tu,06/10/1998,218.88,243.25,920.74,6336.35,41.2,107.2639
Mo,05/10/1998,215.95,240.98,908.27,6122.84,42.81,107.6921
,,,,,,,
Fr,02/10/1998,219.46,245.12,922.99,6409.52,40.47,107.3597
Th,01/10/1998,219.5,243.49,923.44,5960.45,43.48,107.1853
We,30/09/1998,226.53,254.87,952.39,6593.29,40.95,106.6308
Tu,29/09/1998,232.83,263.73,979.27,6868.88,36.08,106.6973
Mo,28/09/1998,232.71,264.54,978.68,6827.38,34.87,106.4969
,,,,,,,
Fr,25/09/1998,231.27,262.41,972.74,6711.52,34.55,106.3635
Th,24/09/1998,232.62,264.24,978.36,6844.35,34.66,106.0812
We,23/09/1998,234.61,262.48,987.33,7280.32,32.47,106.0154
Tu,22/09/1998,228.6,252.89,962.64,6559.75,36.62,105.7065
Mo,21/09/1998,226.32,247.87,953.4,6449.71,38.58,105.7303
,,,,,,,
Fr,18/09/1998,228.91,251.67,964.25,6709.56,38.63,105.6109
Th,17/09/1998,230.34,250.19,970.68,6432.4,39.23,105.4967
We,16/09/1998,236.08,255.62,994.99,6759.85,35.94,105.5193
Tu,15/09/1998,234.99,254.79,990.32,6905.38,36.58,105.6236
Mo,14/09/1998,233.55,243.73,985.8,5818.6,38.57,105.5856
,,,,,,,
Fr,11/09/1998,229.33,236.87,968.29,5398.17,43.74,105.6019
Th,10/09/1998,227,236.21,958.24,4760.57,45.29,105.6781
We,09/09/1998,232.1,246.52,978.99,5655.48,39.66,104.9389
Tu,08/09/1998,236.16,249.22,996.11,5817.71,37.9,104.626
Mo,07/09/1998,229.73,251.57,968.17,,,
,,,,,,,
Fr,04/09/1998,225.8,240.53,952.25,5837.22,43.31,104.5997
Th,03/09/1998,226.92,240.91,956.79,6218.51,41.43,104.5349
We,02/09/1998,228.4,248.22,961.98,6804.63,36.76,104.5064
Tu,01/09/1998,226.74,241.7,955.54,6917.08,36.48,104.4681
Mo,31/08/1998,222.45,240.31,937.09,6472.14,44.28,104.5248
,,,,,,,
Fr,28/08/1998,230.07,244.43,969.73,6746.24,39.6,104.5148
Th,27/08/1998,232.73,245.43,981.26,6616.72,38.55,104.5419
We,26/08/1998,241.29,261.36,1016.31,7347.74,31.14,104.4721
Tu,25/08/1998,244.99,270.63,1031.05,7648.43,30.33,104.4158
Mo,24/08/1998,243.06,271.33,1022.53,7655.42,31.8,104.3591
,,,,,,,
Fr,21/08/1998,242.16,275.53,1017.97,7763.89,33.14,104.2881
Th,20/08/1998,247.65,285.61,1040.57,7991.86,30,104.09
We,19/08/1998,248.99,289.98,1045.7,8541.57,28.69,104.0193
Tu,18/08/1998,248.45,287.92,1043.48,8642.66,28.4,104.0572
Mo,17/08/1998,243.76,286.83,1023.18,8609.64,31.86,104.0287
,,,,,,,
Fr,14/08/1998,241.94,292.04,1014.48,8743.74,34.34,104.1356
Th,13/08/1998,242.75,288.78,1018.55,8710.75,29.92,104.1602
We,12/08/1998,245.04,291.11,1028.26,8417.4,28.55,104.1982
Tu,11/08/1998,241.89,294.28,1013.97,8801.65,31.91,104.2578
Mo,10/08/1998,247.23,306.2,1035.55,9182.04,28.75,104.1465
,,,,,,,
Fr,07/08/1998,250.29,312.88,1047.98,9319.49,27.02,104.1629
Th,06/08/1998,249.7,318.83,1044.57,9689.96,28.2,104.2864
We,05/08/1998,250.36,323.59,1046.77,9828.05,29.83,104.3504
Tu,04/08/1998,250.68,328.02,1047.51,9859.52,31.06,104.3404
Mo,03/08/1998,255.65,332.65,1068.54,10412.99,25.98,104.3255
,,,,,,,
Fr,31/07/1998,259.12,339.83,1082.74,10707.25,24.8,104.288
Th,30/07/1998,262.35,342.61,1096.33,10939.22,22.66,104.3106
We,29/07/1998,259.23,338.07,1083.38,10542.41,24.79,104.3208
Tu,28/07/1998,260.4,336.63,1088.83,10318.48,25.25,104.3469
Mo,27/07/1998,262.02,339.45,1095.46,10564.04,23.13,104.3945
,,,,,,,
Fr,24/07/1998,263.96,343.6,1103.39,10574.72,23.01,104.3845
Th,23/07/1998,263.62,345.37,1101.6,10639.96,23.01,104.3223
We,22/07/1998,267.3,351.66,1116.8,10912.47,20.32,104.2589
Tu,21/07/1998,269.92,356.01,1127.65,10922.88,20.1,104.1886
Mo,20/07/1998,273.57,360.54,1142.95,11041.29,17.34,104.1126
,,,,,,,
Fr,17/07/1998,272.8,361.2,1139.49,11057.08,16.23,104.0645
Th,16/07/1998,271.15,356.84,1132.89,10907.84,16.97,104.0531
We,15/07/1998,269.36,352.38,1125.78,10648.56,17.89,104.0454
Tu,14/07/1998,269.12,349.79,1125.08,10641.75,17.88,103.964
Mo,13/07/1998,265.8,342.29,1111.66,10447.15,18.26,103.9693
,,,,,,,
Fr,10/07/1998,264.23,339.7,1105.21,10326.78,17.92,104.0052
Th,09/07/1998,264.34,341.54,1105.49,,18.16,104.033
We,08/07/1998,266.6,343.74,1115.13,10335.79,17.82,104.0216
Tu,07/07/1998,265.16,343.08,1108.97,10205.12,18.62,104.0206
Mo,06/07/1998,264.57,338.13,1107.19,10018.09,18.63,103.8999
,,,,,,,
Fr,03/07/1998,263.24,337.77,1101.48,10115.51,,
Th,02/07/1998,262.35,336.31,1097.84,9900.84,17.67,103.7463
We,01/07/1998,262.64,334.27,1099.43,9914.51,18,103.7683
Tu,30/06/1998,259.4,330.52,1085.74,9678.27,19.71,103.8066
Mo,29/06/1998,258.71,327.18,1083.14,9603.9,19.57,103.7237
